gene	Esophagus...Mucosa	Pancreas	Pituitary	Whole.Blood	Cells...Transformed.fibroblasts	Minor.Salivary.Gland	Lung
ENSG00000223972.4	0.03987	0.027255	0.04817	0.1175	0.03682	0.03569	0.06655
ENSG00000227232.4	10.27	5.553	15.84	8.439	6.1	11.06	13.68
ENSG00000243485.2	0.04791	0.034055	0.04549	0.001	0.04019	0.04546	0.06216
ENSG00000237613.2	0.03151	0.022915	0.02954	0.02574	0.03206	0.0329	0.0379
ENSG00000268020.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000240361.1	0.02428	0.001	0.0348	0.001	0.001	0.04005	0.03268
ENSG00000186092.4	0.04184	0.028115	0.03887	0.001	0.001	0.04368	0.04384
ENSG00000238009.2	0.09172	0.092265	0.158	0.1639	0.09267	0.1381	0.1547
ENSG00000233750.3	0.2062	0.08988	0.1687	1.168	0.0878	0.1484	0.2728
ENSG00000237683.5	27.72	7.0435	15.02	220.3	0.4261	13.3	34.69
ENSG00000268903.1	1.677	0.394	1.194	15.8	0.001	0.9024	2.042
ENSG00000239906.1	1.902	0.44885	0.8352	11.87	0.001	0.8444	2.591
ENSG00000241860.2	0.6378	0.2351	0.4487	1.61	0.09868	0.4531	0.7954
ENSG00000222623.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000241599.1	0.09922	0.001	0.001	0.1553	0.001	0.0854	0.08407
ENSG00000228463.4	0.3085	0.2669	1.006	1.154	0.3524	0.4886	0.541
ENSG00000237094.7	0.1705	0.083245	0.2834	0.5655	0.1101	0.1529	0.3317
ENSG00000250575.1	0.6455	0.1515	0.3916	6.21	0.001	0.3458	0.6664
ENSG00000233653.3	0.06684	0.04378	0.06445	0.05571	0.0661	0.07334	0.08487
ENSG00000224813.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000235249.1	0.02916	0.001	0.03127	0.001	0.02787	0.03686	0.04355
ENSG00000269732.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000256186.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000236601.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000236743.1	0.06587	0.04289	0.05555	0.04665	0.06265	0.06983	0.07741
ENSG00000236679.2	0.1277	0.08364	0.1112	0.1031	0.1702	0.1478	0.159
ENSG00000231709.1	0.1537	0.071545	0.1262	0.03112	0.06663	0.08459	0.0806
ENSG00000235146.2	0.07922	0.001	0.09706	0.001	0.001	0.001	0.001
ENSG00000239664.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000230021.3	0.05138	0.03509	0.0795	0.0434	0.04693	0.06028	0.07442
ENSG00000223659.1	0.001	0.02853	0.001	0.001	0.001	0.04661	0.02337
ENSG00000225972.1	5.892	5.5455	7.311	4.364	6.306	8.829	9.282
ENSG00000225630.1	330.6	340.55	514	56.35	201.9	512.1	444.7
ENSG00000237973.1	46.06	25.095	20.53	14.17	35.98	48.9	46.4
ENSG00000229344.1	11.35	6.562	11.85	5.665	11.15	12.65	12.76
ENSG00000240409.1	10.32	7.5835	12.56	4.042	9.593	12.41	13.22
ENSG00000248527.1	1995	1411	2510	487	1379	2473	2172
ENSG00000198744.5	14.15	8.6045	16.7	6.766	11.07	18.2	15.31
ENSG00000268663.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000185097.2	0.03082	0.001	0.001	0.001	0.001	0.03033	0.03589
ENSG00000229376.3	0.1244	0.09624	0.4308	0.06438	0.1189	0.1746	0.1295
ENSG00000224956.5	4.258	2.468	9.998	9.402	2.975	4.091	5.952
ENSG00000235373.1	0.1197	0.06991	0.1491	0.1753	0.09229	0.1334	0.1537
ENSG00000223181.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000240618.1	0.3606	0.21495	0.4778	0.2999	0.2757	0.419	0.4277
ENSG00000229905.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000228327.2	1.796	1.325	3.414	0.8455	2.502	2.718	2.335
ENSG00000237491.4	0.4943	0.27755	2.244	0.1252	0.4856	0.7509	0.695
ENSG00000230092.3	0.7037	0.50145	1.096	0.4978	1.111	1.195	0.9996
ENSG00000269831.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000240453.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000177757.1	0.3274	0.15825	0.7004	0.09397	0.9092	0.5689	0.5759
ENSG00000225880.4	4.091	1.0955	9.898	1.601	3.683	5.488	7.024
ENSG00000228794.4	3.274	2.3085	18.6	0.914	3.723	3.269	6.016
ENSG00000230368.2	0.05554	0.034175	0.2016	0.027	0.036	0.03738	0.08377
ENSG00000234711.1	0.09666	0.041355	0.2588	0.04469	0.05557	0.06361	0.08651
ENSG00000269308.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000272438.1	0.2506	0.05493	1.863	0.001	0.6382	0.09442	0.3143
ENSG00000230699.2	0.2178	0.050395	1.142	0.03243	0.574	0.07999	0.2896
ENSG00000241180.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000223764.2	1.521	0.3342	19.31	0.04579	1.066	0.5897	2.763
ENSG00000187634.6	1.815	1.051	47.81	0.06776	1.435	0.8788	4.481
ENSG00000268179.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000188976.6	77.24	30.5	57.56	17.11	83.26	51.19	57.32
ENSG00000187961.9	17.55	4.8935	21.42	3.992	14.96	13.04	15.6
ENSG00000187583.6	74.97	0.64455	0.6011	0.5506	1.386	11.51	2.35
ENSG00000187642.5	21.1	0.21755	0.3004	0.2262	0.4181	3.929	0.8326
ENSG00000272512.1	2.536	2.9545	6.547	0.1152	0.1056	2.537	3.982
ENSG00000188290.6	15.8	8.119	31.05	1.419	1.688	22.79	28.81
ENSG00000231702.2	0.4921	0.24325	0.6455	0.001	0.7732	0.5213	0.6529
ENSG00000224969.1	0.1691	0.07582	0.638	0.001	0.1035	0.1846	0.4183
ENSG00000187608.5	14.12	7.053	37.24	35.27	52.72	14.44	79.46
ENSG00000188157.9	29.2	25.01	17.53	0.6703	33.67	45.47	52.39
ENSG00000217801.5	10.41	1.3855	3.886	0.3476	0.2292	3.708	1.813
ENSG00000273443.1	0.2974	0.2299	0.8196	0.04767	0.08014	0.3173	0.3186
ENSG00000237330.2	34.09	0.100685	0.118	0.03435	0.06892	3.023	0.8515
ENSG00000131591.13	10.42	2.76	8.586	2.741	5.966	8.964	10.32
ENSG00000223823.1	0.08916	0.3084	0.2258	0.1388	0.03669	0.7274	0.1754
ENSG00000207730.1	0.7151	0.44165	1.8	0.001	0.001	0.3795	0.001
ENSG00000207607.1	0.4864	0.32875	1.498	0.001	0.001	0.001	0.001
ENSG00000198976.1	1.33	0.8872	3.246	0.001	0.001	1.011	0.001
ENSG00000272141.1	31.28	17.08	55.75	0.04902	0.07869	34.81	5.181
ENSG00000205231.1	0.1419	0.11605	0.7513	0.02667	0.02563	0.1289	0.5743
ENSG00000162571.9	0.4208	0.19745	3.649	0.05087	0.04214	0.4135	1.73
ENSG00000186891.9	5.288	0.18005	6.329	6.662	0.1455	6.588	5.713
ENSG00000186827.6	1.395	0.83045	3.261	5.961	0.1251	2.834	12.75
ENSG00000078808.12	90.94	67.8	152.5	67.17	265.2	123.3	161.9
ENSG00000176022.3	10.83	8.681	18.89	4.756	31.99	10.71	15.65
ENSG00000184163.3	2.374	0.43975	1.592	0.886	1.662	0.9825	2.301
ENSG00000260179.1	0.5119	0.19475	0.5568	0.3672	0.4281	0.4178	0.9942
ENSG00000160087.16	27.82	11.735	32.07	15.75	32.73	22.48	27.86
ENSG00000230415.1	1.935	1.48	14.55	0.5986	2.257	3.345	3.118
ENSG00000162572.15	4	2.319	28.52	1.395	2.597	5.508	5.135
ENSG00000131584.14	71.87	15.245	158.9	17.81	25.18	50.77	51.98
ENSG00000169972.7	29.23	9.585	28.36	7.951	24.97	20.67	16.32
ENSG00000127054.14	44.31	28.76	76.88	23.9	47.96	48.29	57.64
ENSG00000240731.1	17.51	11.86	39.17	3.2	11.87	21.38	22.49
ENSG00000224051.2	56.33	11.335	13.86	14.5	22.28	39.54	24.3
ENSG00000169962.4	1.689	0.20005	3.116	0.9595	0.2328	2.219	1.003
ENSG00000107404.13	89.19	42.425	87.07	10.78	62	67.33	72.41
ENSG00000162576.12	39.31	9.134	56.25	0.9907	456.1	68.65	121.6
ENSG00000175756.9	84.29	42.65	90.94	62.87	104.9	71.29	74.06
ENSG00000223663.2	0.2375	0.14005	0.3063	0.001	0.1982	0.2287	0.2706
ENSG00000221978.7	126.7	79.035	238.6	35.47	175.8	164.1	197.6
ENSG00000224870.3	13.72	8.426	18.55	7.648	18.32	15.66	16.5
ENSG00000242485.1	65.07	35.52	86.81	23.56	82.39	59.93	71.72
ENSG00000272455.1	5.2	1.658	8.702	1.062	4.551	4.785	3.918
